"iatRace","cgatRace","satRace","ampRace","prfWhtBlk","eItmWhtBlk","ewhtblk","mrs"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2.53089572939576,NA,0.254888219878727,1.6312925594077
0.53973956007523,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,-0.387650590761531,NA,-0.306757601066876,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0.585198182624233,NA,0.81653404082433,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4.53163673490637,-3.30619691091882,NA,-5.9232158105229,NA
NA,0.688117840145087,NA,NA,0.585198182624233,NA,-0.306757601066876,NA
-2.06506849962315,-1.15634402998306,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
0.29364090105621,0.544089208750144,-1.75204694264878,0.0427104723096986,NA,NA,NA,-0.0227382101248018
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.39030060331749
NA,NA,-0.762322933881012,NA,NA,NA,0.254888219878727,-0.941644193161656
NA,-1.0476930973784,NA,-2.94990703219768,NA,NA,NA,-0.757862996620447
NA,NA,NA,NA,NA,-1.91194766233749,NA,NA
-1.3745685584625,NA,NA,NA,NA,NA,NA,NA
NA,NA,-0.216552982325937,NA,NA,NA,NA,1.44751136275622
NA,NA,NA,NA,NA,0.47714765533213,NA,-1.12542538981313
NA,NA,NA,NA,NA,NA,NA,NA
-0.180246090986255,NA,NA,NA,NA,NA,NA,NA
NA,-1.17614184824206,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.416787662393138,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.718670001427961,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.20651940677628
NA,NA,NA,NA,NA,NA,NA,-0.574081799968968
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-1.12542538981313
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.866038354078349,NA,-0.387650590761531,NA,-1.43004924295808,-0.39030060331749
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0.795693697369533,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-0.39030060331749
NA,NA,NA,1.16494203896887,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.319217451194834,NA,-0.574081799968968
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,-2.6854064782712,NA,NA,-1.11558255676616,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,-0.684277713788014,-1.31570299690798,NA,-1.3604993641473,NA,-1.43004924295808,NA
NA,NA,NA,NA,NA,NA,NA,NA
-0.727272436368253,0.93322804546334,NA,NA,NA,0.47714765533213,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,-0.518405310346551,NA,NA,NA,-1.12542538981313
NA,NA,NA,NA,-0.387650590761531,-0.319217451194834,-0.306757601066876,-1.12542538981313
NA,NA,NA,NA,-0.387650590761531,NA,-0.306757601066876,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
-1.51416057650343,NA,NA,0.603826256312626,-0.387650590761531,NA,-0.306757601066876,NA
NA,NA,-1.1827643624216,NA,NA,NA,NA,-1.12542538981313
0.460527205906085,NA,NA,NA,NA,NA,NA,-0.20651940677628
NA,NA,NA,NA,-0.387650590761531,NA,-0.306757601066876,-1.12542538981313
NA,NA,NA,NA,-0.387650590761531,NA,-0.306757601066876,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,0.416787662393138,NA,NA,NA,NA
NA,NA,NA,NA,-0.387650590761531,-0.797036514728758,-0.306757601066876,NA
NA,NA,NA,NA,NA,NA,NA,-0.20651940677628
-1.29347944022726,NA,0.727681992803946,NA,NA,NA,NA,NA
NA,NA,0.787733459994488,NA,0.585198182624233,NA,0.254888219878727,NA
NA,NA,NA,NA,0.585198182624233,NA,-0.306757601066876,-0.757862996620447
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-1.12542538981313
NA,NA,NA,NA,NA,NA,NA,-1.12542538981313
